VERB	POSSESSION	INFORMATION	COMBAT	CREATION	EMOTION												
claw	0.1904761905	0.0952380952	0.0952380952	0.1904761905	0	0.0476190476	0	0	0	0	0	0	0	0	0	0.1904761905	0.1904761905
cleaver	0	0.25	0.25	0.125	0.25	0.125	0	0	0	0	0	0	0	0	0	0	0
clothes	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0
club	0	0.25	0	0.125	0.25	0.125	0	0	0	0	0	0	0	0	0	0.25	0
coat	0	0	0	0.3333333333	0.3333333333	0	0	0	0	0.3333333333	0	0	0	0	0	0	0
coffin	0.1428571429	0	0	0.1428571429	0.2857142857	0.1428571429	0	0	0	0	0	0	0	0	0	0.2857142857	0
coin	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
compass	0.25	0	0	0.5	0	0.25	0	0	0	0	0	0	0	0	0	0	0
crown	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
crutch	0	0	0	0.25	0.5	0.25	0	0	0	0	0	0	0	0	0	0	0
cup	0	0	0	0.0952380952	0.1904761905	0.0952380952	0.1904761905	0.0952380952	0.0952380952	0	0.1904761905	0	0	0	0.0476190476	0	0
cymbal	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
dagger	0.0769230769	0.3076923077	0	0.3076923077	0	0	0	0	0	0	0	0	0	0	0	0.3076923077	0
diagram	0	0	0	0	0	0	0	0	0	0.3333333333	0	0	0	0.3333333333	0.3333333333	0	0
dice	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0
drink	0	0	0	0	0	0	0	0.2222222222	0.2222222222	0	0.4444444444	0	0	0	0.1111111111	0	0
drum	0.2	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0
egg	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
elixir	0	0	0	0	0	0	0	0.1818181818	0.1818181818	0	0.3636363636	0	0	0	0.2727272727	0	0
engine	0	0	0	0.25	0.5	0.25	0	0	0	0	0	0	0	0	0	0	0
extract	0	0	0	0	0	0	0	0.1818181818	0.1818181818	0	0.3636363636	0	0	0	0.2727272727	0	0
eye_patch	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0
fan	0	0	0	0.2	0.4	0	0	0	0	0.4	0	0	0	0	0	0	0
fang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5
feather	0	0	0.3333333333	0	0	0	0	0	0	0	0	0	0	0.3333333333	0.3333333333	0	0
fish	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
fishing_net	0	0	0	0	0.4444444444	0	0	0	0.1111111111	0.4444444444	0	0	0	0	0	0	0
fishing_rod	0	0	0.3076923077	0	0.3076923077	0.3076923077	0	0	0.0769230769	0	0	0	0	0	0	0	0
flail	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
flask	0.0434782609	0	0	0.0869565217	0.1739130435	0.0869565217	0.1739130435	0.0869565217	0.0869565217	0	0.1739130435	0	0	0	0.0869565217	0	0
flute	0.2	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0
flying_carpet	0.25	0	0.25	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
fork	0	0	0.3333333333	0.1666666667	0.3333333333	0.1666666667	0	0	0	0	0	0	0	0	0	0	0
gem	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
girdle	0.3333333333	0	0	0.6666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
globe	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
gloves	0	0	0	0.3333333333	0	0	0	0	0	0.6666666667	0	0	0	0	0	0	0
goblet	0.0384615385	0	0	0.0769230769	0.0769230769	0.0769230769	0.1538461538	0.0769230769	0.0769230769	0	0.1538461538	0	0	0	0.1153846154	0.1538461538	0
gravestone	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
grimoire	0	0	0	0	0	0	0	0	0	0.3333333333	0	0	0	0.3333333333	0.3333333333	0	0
guillotine	0	0	0	0.1666666667	0.3333333333	0.1666666667	0	0	0	0	0	0	0.3333333333	0	0	0	0
guitar	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0
gun	0	0.3333333333	0	0.3333333333	0.3333333333	0	0	0	0	0	0	0	0	0	0	0	0
halberd	0	0.5	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0
hammer	0	0.3333333333	0.3333333333	0.1666666667	0	0.1666666667	0	0	0	0	0	0	0	0	0	0	0
handcuffs	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
harp	0.2	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0
helmet	0.3333333333	0	0	0.6666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
herb	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
honeycomb	0	0	0	0	0	0	0	0.6666666667	0.3333333333	0	0	0	0	0	0	0	0
hook	0.1666666667	0.1666666667	0.3333333333	0.1666666667	0	0.1666666667	0	0	0	0	0	0	0	0	0	0	0
horn	0.1904761905	0	0.0952380952	0.1904761905	0	0.0476190476	0.0952380952	0	0	0	0	0	0	0	0	0.1904761905	0.1904761905
horseshoe	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0
hourglass	0.2	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0.4	0	0
hydromel	0	0	0	0	0	0	0	0.25	0.25	0	0.5	0	0	0	0	0	0
idol	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
ingot	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0
jar	0	0	0	0.0952380952	0.1904761905	0.0952380952	0.1904761905	0.0952380952	0.0952380952	0	0.1904761905	0	0	0	0.0476190476	0	0
javelin	0	0.3333333333	0	0.1666666667	0.3333333333	0.1666666667	0	0	0	0	0	0	0	0	0	0	0
jewel	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
jug	0	0	0	0.0952380952	0.1904761905	0.0952380952	0.1904761905	0.0952380952	0.0952380952	0	0.1904761905	0	0	0	0.0476190476	0	0
kayak	0	0	0	0.1666666667	0.3333333333	0.1666666667	0	0	0	0	0	0	0.3333333333	0	0	0	0
key	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0
kite	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0
knife	0.0555555556	0.2222222222	0.2222222222	0.2222222222	0.0555555556	0	0	0	0	0	0	0	0	0	0	0.2222222222	0
lamp	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
lance	0	0.5	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0
leaf	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
lever	0	0	0	0.1666666667	0.3333333333	0.1666666667	0	0	0	0	0	0.3333333333	0	0	0	0	0
lock	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0
lyre	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0
mace	0	0.3333333333	0	0.1666666667	0	0.1666666667	0	0	0	0	0	0	0	0	0	0.3333333333	0
mantle	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
map	0	0	0	0	0	0	0	0	0	0.3333333333	0	0	0	0.3333333333	0.3333333333	0	0
mask	0	0	0	0.1666666667	0.3333333333	0.1666666667	0	0	0	0	0	0	0	0	0	0.3333333333	0
medal	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
milk	0	0	0	0	0	0	0	0.25	0.25	0	0.5	0	0	0	0	0	0
mushroom	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
nail	0	0	0	0.25	0.5	0.25	0	0	0	0	0	0	0	0	0	0	0
necklace	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
needle	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0
net	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0
nugget	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
nut	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
oar	0	0	0.3333333333	0	0.3333333333	0.3333333333	0	0	0	0	0	0	0	0	0	0	0
orb	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
padlock	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0
pickaxe	0	0	0.3333333333	0.1666666667	0.3333333333	0.1666666667	0	0	0	0	0	0	0	0	0	0	0
plate	0	0	0	0.25	0.5	0.25	0	0	0	0	0	0	0	0	0	0	0
poison	0	0	0	0	0	0	0	0.1818181818	0.1818181818	0	0.3636363636	0	0	0	0.2727272727	0	0
polearm	0	0.5	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0
potion	0	0	0	0	0	0	0	0.1818181818	0.1818181818	0	0.3636363636	0	0	0	0.2727272727	0	0
pumpkin	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
quill	0	0	0.3333333333	0	0	0	0	0	0	0	0	0	0	0.3333333333	0.3333333333	0	0
raft	0	0	0	0.1666666667	0.3333333333	0.1666666667	0	0	0	0	0	0	0.3333333333	0	0	0	0
rag	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0
ram	0	0	0	0.1666666667	0.3333333333	0.1666666667	0	0	0	0	0	0	0.3333333333	0	0	0	0
rattle	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0
rebab	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0
relic	0.4444444444	0.1111111111	0	0.4444444444	0	0	0	0	0	0	0	0	0	0	0	0	0
ring	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
robe	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ruler	0	0	0.3333333333	0.1666666667	0.3333333333	0.1666666667	0	0	0	0	0	0	0	0	0	0	0
sabre	0.1111111111	0.4444444444	0	0.4444444444	0	0	0	0	0	0	0	0	0	0	0	0	0
saddle	0	0	0	0.2	0.4	0	0	0	0	0.4	0	0	0	0	0	0	0
saw	0	0	0.3333333333	0.3333333333	0.3333333333	0	0	0	0	0	0	0	0	0	0	0	0
scepter	0.4444444444	0.1111111111	0	0.4444444444	0	0	0	0	0	0	0	0	0	0	0	0	0
scimitar	0.1111111111	0.4444444444	0	0.4444444444	0	0	0	0	0	0	0	0	0	0	0	0	0
scissor	0	0	0.3333333333	0.3333333333	0.3333333333	0	0	0	0	0	0	0	0	0	0	0	0
scourge	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0
scroll	0	0	0	0	0	0	0	0	0	0.3333333333	0	0	0	0.3333333333	0.3333333333	0	0
scythe	0	0.3076923077	0.3076923077	0.1538461538	0	0.1538461538	0	0	0	0	0	0	0	0	0	0.0769230769	0
seed	0	0	0	0	0	0	0	0.3333333333	0.6666666667	0	0	0	0	0	0	0	0
shield	0.1111111111	0.4444444444	0	0.2222222222	0	0.2222222222	0	0	0	0	0	0	0	0	0	0	0
sickle	0	0.1333333333	0.2666666667	0.1333333333	0.2666666667	0.1333333333	0	0	0.0666666667	0	0	0	0	0	0	0	0
skull	0	0	0	0	0	0	0.3333333333	0	0	0	0	0	0	0	0	0.3333333333	0.3333333333
spade	0	0	0.3333333333	0.1666666667	0.3333333333	0.1666666667	0	0	0	0	0	0	0	0	0	0	0
spear	0	0.5	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0
spellbook	0	0	0	0	0	0	0	0	0	0.3333333333	0	0	0	0.3333333333	0.3333333333	0	0
spinning_wheel	0	0	0.1	0	0.4	0.4	0	0	0	0.1	0	0	0	0	0	0	0
spoon	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0
staff	0.0909090909	0.1818181818	0	0	0	0.3636363636	0	0	0	0	0	0	0	0	0	0.3636363636	0
statuette	0.25	0	0	0.125	0	0.125	0	0	0	0	0	0.25	0	0	0	0.25	0
strawberry	0	0	0	0	0	0	0	0.6666666667	0.3333333333	0	0	0	0	0	0	0	0
stylus	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0
sword	0.1111111111	0.4444444444	0	0.4444444444	0	0	0	0	0	0	0	0	0	0	0	0	0
tankard	0.0416666667	0	0	0.0833333333	0.0833333333	0.0833333333	0.1666666667	0.0833333333	0.0833333333	0	0.1666666667	0	0	0	0.0416666667	0.1666666667	0
tea	0	0	0	0	0	0	0	0.1818181818	0.1818181818	0	0.3636363636	0	0	0	0.2727272727	0	0
tombstone	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tooth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5
torch	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0
totem	0	0	0	0.1666666667	0.3333333333	0.1666666667	0	0	0	0	0	0	0.3333333333	0	0	0	0
treasure	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
trebuchet	0	0	0	0.1666666667	0.3333333333	0.1666666667	0	0	0	0	0	0	0.3333333333	0	0	0	0
trident	0.1666666667	0.1666666667	0.3333333333	0.3333333333	0	0	0	0	0	0	0	0	0	0	0	0	0
trumpet	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0
urn	0	0	0	0.1666666667	0.3333333333	0.1666666667	0.3333333333	0	0	0	0	0	0	0	0	0	0
vase	0	0	0	0.1052631579	0.2105263158	0.1052631579	0.2105263158	0.0526315789	0.0526315789	0	0.2105263158	0	0	0	0.0526315789	0	0
vat	0	0	0	0.1052631579	0.2105263158	0.1052631579	0.2105263158	0.0526315789	0.0526315789	0	0.2105263158	0	0	0	0.0526315789	0	0
vault	0.3333333333	0	0	0.6666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
veil	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
vial	0	0	0	0.0952380952	0.1904761905	0.0952380952	0.1904761905	0.0476190476	0.0476190476	0	0.1904761905	0	0	0	0.1428571429	0	0
viola	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0
wagon	0	0	0	0.1666666667	0.3333333333	0.1666666667	0	0	0	0	0	0	0.3333333333	0	0	0	0
wand	0.0909090909	0.1818181818	0	0	0	0.3636363636	0	0	0	0	0	0	0	0	0	0.3636363636	0
weapon	0	0.3333333333	0	0.3333333333	0.3333333333	0	0	0	0	0	0	0	0	0	0	0	0
wheel	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0
whip	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
wine	0	0	0	0	0.125	0	0.25	0.125	0.125	0	0.25	0	0	0	0.125	0	0
wing	0	0	0	0	0	0.3333333333	0	0	0	0	0	0	0	0	0	0.3333333333	0.3333333333
yarn	0	0	0.1111111111	0	0.4444444444	0	0	0	0	0.4444444444	0	0	0	0	0	0	0
																	
ADJECTIVE	JEWELRY	METAL	WOOD	TEXTILE	ROCK	COLORS	ORIGIN_REFERENCE	FLAVOR	INHERENT_PHYSICAL_CHARACTERISTIC	CIRCUMSTANCIAL_PHYSICAL_CHARACTERISTIC	SUPERNATURAL	SUBJECTIVE_VALUE	INHERENTLY_AESTHETIC	CIRCUMSTANCIAL_AESTHETIC	WEAPONRY		
aboriginal	0	0	0.25	0.25	0	0	0.5	0	0	0	0	0	0	0	0		
acidic	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
amethyst	0.8	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0		
ancient	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0		
aphrodisiac	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
aquamarine	0.8	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0		
astringent	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
bamboo	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0		
bended	0	0.3333333333	0	0	0	0	0	0	0	0.3333333333	0	0	0	0	0.3333333333		
beryl	0.8	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0		
bitter	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
bloody	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0	0	0	0	0	0	0	0	0.1428571429	0.1428571429		
blue	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
bone	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5		
broken	0.0909090909	0.1818181818	0.1818181818	0	0.1818181818	0	0	0	0	0.1818181818	0	0	0	0	0.1818181818		
bronze	0.1666666667	0.1666666667	0	0	0	0	0	0	0	0	0	0.1666666667	0.1666666667	0.1666666667	0.1666666667		
burned	0	0.1111111111	0.4444444444	0	0	0	0	0	0	0	0	0	0	0	0.4444444444		
cement	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		
ceramic	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		
classical	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0.2		
clay	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		
clean	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		
cold	0.1	0.1	0.1	0	0.1	0	0	0.1	0	0.4	0	0	0	0	0.1		
copper	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		
cork	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		
cracked	0.1052631579	0.2105263158	0.0526315789	0	0.2105263158	0	0	0	0	0.2105263158	0	0	0	0	0.2105263158		
crystal	0.4444444444	0	0	0	0.1111111111	0	0	0	0	0	0	0	0	0	0.4444444444		
cursed	0.125	0.125	0.125	0.125	0.125	0	0	0.125	0	0	0.125	0	0	0	0.125		
cyan	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
dark	0.125	0.125	0.125	0.125	0.125	0	0	0.125	0	0	0.125	0	0	0	0.125		
delicious	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
devilish	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0	0	0	0	0	0.1428571429	0	0	0	0.1428571429		
diabolic	0.125	0.125	0.125	0.125	0.125	0	0	0.125	0	0	0.125	0	0	0	0.125		
diamond	0.6666666667	0	0	0	0.1666666667	0	0	0	0	0	0	0	0	0	0.1666666667		
dry	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
dull	0	0.1111111111	0	0	0	0	0	0	0	0.4444444444	0	0	0	0	0.4444444444		
dusty	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0	0	0	0	0	0	0	0	0.1428571429	0.1428571429		
ebony	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0		
electrified	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5		
emerald	0.8	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0		
consumed	0	0.4	0	0.2	0	0	0	0	0	0.4	0	0	0	0	0		
enchanted	0.1538461538	0.1538461538	0.1538461538	0.1538461538	0.0769230769	0	0	0	0	0	0.1538461538	0	0	0	0.1538461538		
energetic	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
evil	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0	0	0	0	0	0.1428571429	0	0	0	0.1428571429		
expensive	0.25	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0.25		
fabric	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		
fatty	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
fiber	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		
fiery	0.1904761905	0.1904761905	0.0476190476	0	0.1904761905	0	0	0	0	0	0.1904761905	0	0	0	0.1904761905		
filthy	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0	0	0	0	0	0	0	0	0.1428571429	0.1428571429		
fizzy	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
fragile	0.0833333333	0.0833333333	0.0833333333	0.0833333333	0.3333333333	0	0	0	0.3333333333	0	0	0	0	0	0		
fragrant	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
frosting	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5		
ghostly	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0	0	0	0	0	0.1428571429	0	0	0	0.1428571429		
glazed	0.2666666667	0.1333333333	0.0666666667	0	0.2666666667	0	0	0	0	0	0	0	0	0	0.2666666667		
gleaming	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5		
glorious	0	0.3333333333	0	0	0	0	0	0	0	0	0	0.3333333333	0	0	0.3333333333		
golden	0.1666666667	0.1666666667	0	0	0	0	0	0	0	0	0	0.1666666667	0.1666666667	0.1666666667	0.1666666667		
graceful	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0		
granite	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		
greasy	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
green	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
gypsum	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		
half_consumptioned	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
hallucinogenic	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
hardened	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0.2		
heavy	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5		
holy	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0	0	0	0	0	0.1428571429	0	0	0	0.1428571429		
hot	0.0769230769	0.0769230769	0.0769230769	0	0.0769230769	0	0	0.0769230769	0	0.3076923077	0	0	0	0	0.3076923077		
icy	0.1666666667	0.1666666667	0.1666666667	0	0.1666666667	0	0	0	0	0	0.1666666667	0	0	0	0.1666666667		
indigenous	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0		
indigo	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
iron	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5		
ivory	0.0909090909	0.1818181818	0.3636363636	0	0	0	0	0	0	0	0	0	0	0	0.3636363636		
jade	0.4444444444	0	0	0	0.1111111111	0	0	0	0	0	0	0	0	0	0.4444444444		
juicy	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
kneaded	0.0909090909	0	0.1818181818	0	0	0	0	0	0	0.3636363636	0	0	0	0	0.3636363636		
knit	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		
lead	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		
leather	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		
legendary	0.2	0.2	0.2	0	0	0	0	0	0	0	0	0.2	0	0	0.2		
light	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0.2		
lilac	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
linen	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		
magenta	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
magical	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0	0	0	0	0	0.1428571429	0	0	0	0.1428571429		
magnificent	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0		
marble	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		
medieval	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5		
mesh	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		
metal	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5		
meteorite	0.1666666667	0.1666666667	0	0	0	0	0	0	0	0	0	0.1666666667	0.1666666667	0.1666666667	0.1666666667		
mildewed	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0		
mossy	0.1666666667	0.1666666667	0.1666666667	0	0.1666666667	0	0	0	0	0	0	0	0	0.1666666667	0.1666666667		
mother_of_pearl	0.6666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3333333333		
muddy	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0	0	0	0	0	0	0	0	0.1428571429	0.1428571429		
mysterious	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5		
mystical	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0	0	0	0	0	0.1428571429	0	0	0	0.1428571429		
nickel	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		
noisy	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0		
oak	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0		
obsidian	0.4444444444	0	0	0	0.1111111111	0	0	0	0	0	0	0	0	0	0.4444444444		
occult	0.25	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0.25		
odoriferous	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
oily	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
onyx	0.8	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0		
orange	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
pagan	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0		
painted	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		
pearl	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
piece	0.1666666667	0.1666666667	0.1666666667	0	0.1666666667	0	0	0	0.1666666667	0	0	0	0	0	0.1666666667		
poisonous	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5		
pottery	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		
powerful	0.1666666667	0.1666666667	0.1666666667	0	0.1666666667	0	0	0	0	0	0.1666666667	0	0	0	0.1666666667		
precious	0.4	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0.2		
primitive	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5		
quartz	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		
red	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
redhot	0.0769230769	0.0769230769	0.0769230769	0	0.0769230769	0	0	0.0769230769	0	0.3076923077	0	0	0	0	0.3076923077		
rock	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		
rotten	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
ruby	0.8	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0		
rustic	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0	0	0	0	0	0	0	0.1428571429	0	0.1428571429		
rusty	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		
salmon	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
salty	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
sanded	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0		
sapphire	0.8	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0		
scarlet	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
secret	0	0	0	0.3333333333	0	0	0	0	0	0	0	0.3333333333	0	0	0.3333333333		
sedative	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
shadowy	0.1666666667	0.1666666667	0.1666666667	0	0.1666666667	0	0	0	0	0	0.1666666667	0	0	0	0.1666666667		
sharp	0	0.2727272727	0	0	0	0	0	0	0	0.3636363636	0	0	0	0	0.3636363636		
shell	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
shiny	0.25	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25		
silk	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		
silver	0.1666666667	0.1666666667	0	0	0	0	0	0	0	0	0	0.1666666667	0.1666666667	0.1666666667	0.1666666667		
smelly	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
